lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
1.89,0.997361526629068,0.992902142715464,0.910224126690271,0.865836916229415
1.9,0.99744312746033,0.993085551189298,0.91136182603034,0.867255256141709
1.91,0.997522204599015,0.993264220392262,0.912485107690684,0.868658601704959
1.92,0.997598836096094,0.993438272787008,0.913594154381692,0.870047111435823
1.93,0.997673097588635,0.993607827671758,0.914689146498325,0.871420942175161
1.94,0.997745062374456,0.99377300126207,0.915770262149461,0.872780249105747
1.95,0.997814801484471,0.993933906770494,0.916837677186864,0.874125185769799
1.96,0.997882383752803,0.994090654484171,0.917891565233786,0.875455904086326
1.97,0.997947875884719,0.994243351840426,0.918932097713212,0.876772554368283
1.98,0.998011342522474,0.994392103500402,0.919959443875741,0.878075285339556
1.99,0.998072846309115,0.994537011420804,0.920973770827116,0.879364244151756
2,0.998132447950305,0.994678174923776,0.921975243555406,0.88063957640084
2.01,0.998190206274251,0.994815690764982,0.922964024957841,0.881901426143564
2.02,0.998246178289759,0.99494965319992,0.923940275867311,0.883149935913747
2.03,0.998300419242507,0.995080154048529,0.924904155078522,0.884385246738378
2.04,0.998352982669577,0.995207282758122,0.925855819373831,0.885607498153538
2.05,0.998403920452291,0.995331126464696,0.926795423548745,0.886816828220171
2.06,0.998453282867425,0.995451770052656,0.927723120437098,0.888013373539671
2.07,0.998501118636827,0.995569296212996,0.928639060935914,0.889197269269314
2.08,0.998547474975513,0.995683785499975,0.929543394029949,0.890368649137528
2.09,0.998592397638267,0.995795316386333,0.930436266815926,0.891527645458996
2.1,0.998635930964799,0.995903965317077,0.931317824526462,0.892674389149601
2.11,0.998678117923515,0.996009806761876,0.932188210553687,0.893809009741214
2.12,0.998719000153921,0.996112913266102,0.933047566472574,0.894931635396327
2.13,0.99875861800773,0.996213355500561,0.933896032063962,0.89604239292253
2.14,0.998797010588682,0.996311202309922,0.934733745337297,0.897141407786833
2.15,0.998834215791146,0.996406520759913,0.935560842553075,0.898228804129837
2.16,0.998870270337523,0.996499376183284,0.936377458245011,0.89930470477976
2.17,0.998905209814485,0.996589832224587,0.937183725241918,0.90036923126631
2.18,0.998939068708109,0.996677950883801,0.937979774689315,0.901422503834412
2.19,0.998971880437908,0.996763792558828,0.93876573607076,0.902464641457789
2.2,0.999003677389823,0.996847416086887,0.939541737228906,0.903495761852403
2.21,0.999034490948183,0.996928878784848,0.940307904386301,0.904515981489754
2.22,0.999064351526685,0.997008236488511,0.941064362165917,0.905525415610028
2.23,0.999093288598415,0.997085543590883,0.941811233611423,0.906524178235124
2.24,0.999121330724934,0.997160853079454,0.942548640207194,0.907512382181526
2.25,0.999148505584472,0.997234216572522,0.943276701898077,0.90849013907305
2.26,0.999174839999247,0.997305684354566,0.943995537108896,0.909457559353454
2.27,0.999200359961937,0.997375305410717,0.94470526276372,0.910414752298907
2.28,0.999225090661339,0.99744312746033,0.945405994304876,0.91136182603034
2.29,0.999249056507227,0.997509196989695,0.946097845711732,0.912298887525654
2.3,0.999272281154448,0.997573559283896,0.946780929519232,0.913226042631805
2.31,0.999294787526267,0.997636258457851,0.947455356836204,0.914143396076762
2.32,0.999316597836997,0.99769733748655,0.948121237363429,0.915051051481333
2.33,0.999337733613921,0.99775683823451,0.94877867941149,0.915949111370873
2.34,0.999358215718541,0.997814801484471,0.949427789918385,0.916837677186864
2.35,0.999378064367171,0.997871266965347,0.950068674466922,0.917716849298371
2.36,0.999397299150887,0.997926273379457,0.950701437301896,0.918586727013383
2.37,0.999415939054868,0.997979858429054,0.951326181347042,0.919447408590029
2.38,0.999434002477131,0.998032058842165,0.951943008221775,0.920298991247676
2.39,0.999451507246695,0.998082910397766,0.952552018257725,0.921141571177911
2.4,0.999468470641173,0.998132447950305,0.953153310515051,0.921975243555406
2.41,0.99948490940383,0.998180705453593,0.953746982798556,0.922800102548671
2.42,0.999500839760105,0.998227715984072,0.954333131673596,0.923616241330688
2.43,0.999516277433632,0.998273511763493,0.954911852481788,0.924423752089437
2.44,0.999531237661751,0.998318124180995,0.955483239356516,0.925222726038308
2.45,0.999545735210556,0.998361583814625,0.956047385238243,0.926013253426407
2.46,0.999559784389464,0.998403920452291,0.956604381889628,0.926795423548745
2.47,0.99957339906534,0.998445163112186,0.957154319910456,0.927569324756329
2.48,0.999586592676187,0.998485340062668,0.957697288752369,0.928335044466143
2.49,0.999599378244404,0.998524478841647,0.958233376733418,0.929092669171015
2.5,0.999611768389644,0.998562606275451,0.958762671052431,0.929842284449394
2.51,0.999623775341269,0.998599748497216,0.959285257803194,0.930583974975015
2.52,0.999635410950418,0.998635930964799,0.959801221988456,0.931317824526462
2.53,0.999646686701707,0.998671178478228,0.960310647533753,0.93204391599663
2.54,0.999657613724566,0.998705515196696,0.960813617301062,0.932762331402092
2.55,0.99966820280422,0.998738964655125,0.96131021310228,0.933473151892363
2.56,0.999678464392335,0.998771549780295,0.961800515712527,0.934176457759061
2.57,0.999688408617338,0.998803292906558,0.962284604883287,0.934872328444983
2.58,0.999698045294411,0.998834215791146,0.962762559355383,0.935560842553075
2.59,0.999707383935176,0.998864339629087,0.96323445687178,0.936242077855312
2.6,0.999716433757089,0.998893685067728,0.963700374190233,0.936916111301482
2.61,0.999725203692535,0.998922272220889,0.964160387095772,0.937583019027879
2.62,0.999733702397644,0.99895012068265,0.96461457041303,0.938242876365901
2.63,0.999741938260835,0.998977249540781,0.965062998018409,0.93889575785056
2.64,0.999749919411096,0.999003677389823,0.965505742852105,0.939541737228906
2.65,0.999757653726008,0.999029422343836,0.965942876929965,0.940180887468347
2.66,0.999765148839519,0.999054502048811,0.966374471355204,0.940813280764902
2.67,0.99977241214948,0.99907893369477,0.966800596329969,0.941438988551348
2.68,0.999779450824948,0.999102734027542,0.967221321166761,0.942058081505293
2.69,0.999786271813257,0.999125919360247,0.967636714299705,0.942670629557158
2.7,0.999792881846883,0.999148505584472,0.968046843295684,0.943276701898077
