lamT,lamD0omega0,lamD0omega60,lamD1omega0,lamD1omega60
2.23,0.999093641228366,0.998248028721295,0.998596640557216,0.997477965839298
2.24,0.999121673981092,0.998297190295339,0.998637376242179,0.997544727928531
2.25,0.999148839709356,0.998344972360259,0.998676929481663,0.997609722723479
2.26,0.999175165229343,0.998391413626074,0.998715334598824,0.997672997007115
2.27,0.999200676527836,0.998436551716572,0.998752624920513,0.997734596323999
2.28,0.999225398787877,0.998480423199788,0.99878883280619,0.997794565013052
2.29,0.999249356413621,0.998523063617634,0.998823989676014,0.99785294623948
2.3,0.999272573054427,0.99856450751469,0.998858126038097,0.997909782025839
2.31,0.999295071628203,0.998604788466189,0.998891271514987,0.997965113282283
2.32,0.99931687434403,0.99864393910522,0.998923454869372,0.998018979836013
2.33,0.999338002724086,0.998681991149164,0.998954704029033,0.998071420459943
2.34,0.999358477624889,0.998718975425389,0.998985046111089,0.998122472900609
2.35,0.999378319257885,0.998754921896226,0.99901450744552,0.998172173905337
2.36,0.999397547209402,0.998789859683239,0.999043113598021,0.998220559248698
2.37,0.999416180459982,0.998823817090822,0.999070889392182,0.998267663758254
2.38,0.99943423740312,0.998856821629128,0.999097858931035,0.998313521339628
2.39,0.999451735863416,0.998888900036353,0.999124045617964,0.99835816500091
2.4,0.999468693114177,0.998920078300401,0.99914947217702,0.998401626876416
2.41,0.999485125894459,0.998950381679938,0.999174160672636,0.998443938249817
2.42,0.999501050425602,0.998979834724851,0.999198132528772,0.998485129576658
2.43,0.999516482427233,0.999008461296143,0.999221408547513,0.998525230506279
2.44,0.999531437132786,0.999036284585257,0.999244008927114,0.998564269903156
2.45,0.999545929304544,0.999063327132869,0.999265953279531,0.99860227586768
2.46,0.999559973248206,0.999089610847146,0.999287260647438,0.99863927575638
2.47,0.999573582827008,0.999115157021499,0.999307949520753,0.998675296201618
2.48,0.999586771475414,0.999139986351827,0.999328037852681,0.998710363130755
2.49,0.999599552212371,0.999164118953289,0.999347543075297,0.998744501784816
2.5,0.999611937654164,0.9991875743766,0.999366482114666,0.998777736736658
2.51,0.99962394002687,0.999210371623863,0.999384871405542,0.998810091908655
2.52,0.999635571178426,0.999232529163974,0.999402726905616,0.998841590589923
2.53,0.999646842590323,0.999254064947574,0.999420064109378,0.998872255453075
2.54,0.999657765388941,0.999274996421598,0.999436898061549,0.998902108570549
2.55,0.999668350356535,0.999295340543408,0.999453243370148,0.998931171430491
2.56,0.999678607941873,0.999315113794529,0.99946911421916,0.998959464952222
2.57,0.999688548270554,0.999334332194003,0.999484524380848,0.998987009501297
2.58,0.999698181155005,0.999353011311367,0.999499487227705,0.999013824904165
2.59,0.99970751610416,0.999371166279264,0.999514015744057,0.999039930462438
2.6,0.999716562332855,0.999388811805705,0.99952812253733,0.999065344966783
2.61,0.99972532877092,0.999405962185985,0.999541819848992,0.999090086710453
2.62,0.999733824071994,0.99942263131426,0.999555119565172,0.999114173502447
2.63,0.999742056622067,0.999438832694807,0.99956803322698,0.999137622680335
2.64,0.999750034547759,0.999454579452965,0.999580572040519,0.999160451122734
2.65,0.999757765724344,0.999469884345764,0.999592746886607,0.999182675261461
2.66,0.999765257783519,0.999484759772264,0.999604568330224,0.999204311093352
2.67,0.999772518120942,0.999499217783599,0.999616046629677,0.999225374191789
2.68,0.999779553903532,0.999513270092738,0.999627191745502,0.999245879717898
2.69,0.999786372076539,0.999526928083977,0.999638013349109,0.999265842431469
2.7,0.999792979370407,0.999540202822159,0.999648520831171,0.999285276701577
2.71,0.999799382307412,0.999553105061641,0.999658723309778,0.999304196516926
2.72,0.999805587208103,0.999565645255004,0.999668629638345,0.999322615495919
2.73,0.999811600197542,0.999577833561523,0.999678248413298,0.999340546896457
2.74,0.999817427211348,0.999589679855396,0.999687587981532,0.999358003625486
2.75,0.999823074001559,0.999601193733743,0.999696656447653,0.999374998248283
2.76,0.999828546142305,0.999612384524383,0.999705461681015,0.999391542997505
2.77,0.999833849035317,0.99962326129339,0.999714011322544,0.999407649781992
2.78,0.999838987915255,0.999633832852436,0.999722312791371,0.999423330195337
2.79,0.999843967854876,0.999644107765933,0.999730373291272,0.999438595524236
2.8,0.999848793770041,0.999654094357967,0.999738199816914,0.999453456756606
2.81,0.999853470424571,0.999663800719047,0.999745799159931,0.999467924589498
2.82,0.999858002434944,0.999673234712655,0.999753177914812,0.999482009436796
2.83,0.999862394274858,0.999682403981617,0.999760342484628,0.999495721436713
2.84,0.99986665027964,0.999691315954298,0.999767299086584,0.999509070459088
2.85,0.999870774650534,0.999699977850616,0.99977405375742,0.999522066112488
2.86,0.99987477145884,0.999708396687894,0.999780612358642,0.999534717751131
2.87,0.999878644649941,0.999716579286544,0.999786980581615,0.99954703448161
2.88,0.99988239804719,0.999724532275591,0.999793163952499,0.999559025169456
2.89,0.999886035355689,0.999732262098046,0.999799167837044,0.999570698445515
2.9,0.999889560165945,0.999739775016123,0.999804997445248,0.999582062712159
2.91,0.999892975957413,0.999747077116317,0.999810657835876,0.99959312614934
2.92,0.999896286101933,0.999754174314327,0.999816153920851,0.999603896720471
2.93,0.999899493867059,0.999761072359857,0.999821490469517,0.999614382178165
2.94,0.999902602419279,0.999767776841269,0.999826672112776,0.999624590069807
2.95,0.999905614827149,0.99977429319011,0.999831703347108,0.999634527742995
2.96,0.999908534064314,0.999780626685517,0.999836588538474,0.999644202350823
2.97,0.999911363012451,0.999786782458488,0.9998413319261,0.999653620857033
2.98,0.999914104464106,0.999792765496042,0.999845937626162,0.999662790041024
2.99,0.999916761125456,0.99979858064526,0.999850409635352,0.999671716502736
3,0.999919335618979,0.999804232617208,0.999854751834351,0.999680406667397
3.01,0.999921830486042,0.999809725990759,0.999858967991194,0.999688866790151
3.02,0.999924248189411,0.999815065216298,0.999863061764539,0.999697102960558
3.03,0.99992659111568,0.999820254619328,0.999867036706845,0.999705121106977
3.04,0.999928861577627,0.999825298403977,0.999870896267451,0.999712927000837
3.05,0.999931061816502,0.999830200656401,0.999874643795573,0.999720526260786
3.06,0.999933194004231,0.999834965348097,0.999878282543206,0.999727924356738
3.07,0.999935260245568,0.999839596339117,0.999881815667952,0.999735126613811
3.08,0.999937262580167,0.999844097381199,0.999885246235753,0.99974213821616
3.09,0.999939202984598,0.999848472120802,0.999888577223558,0.999748964210704
3.1,0.999941083374299,0.999852724102067,0.999891811521899,0.999755609510767
3.11,0.999942905605463,0.999856856769679,0.99989495193741,0.999762078899605
3.12,0.999944671476875,0.999860873471666,0.99989800119525,0.999768377033859
3.13,0.999946382731685,0.999864777462107,0.999900961941478,0.999774508446896
3.14,0.999948041059129,0.999868571903768,0.999903836745344,0.999780477552083
3.15,0.999949648096195,0.999872259870667,0.999906628101519,0.999786288645955
3.16,0.999951205429243,0.999875844350563,0.999909338432262,0.999791945911313
3.17,0.999952714595568,0.999879328247375,0.999911970089519,0.999797453420232
3.18,0.999954177084917,0.999882714383537,0.999914525356966,0.999802815136993
3.19,0.999955594340962,0.999886005502283,0.999917006451991,0.999808034920938
3.2,0.999956967762722,0.99988920426987,0.999919415527615,0.999813116529243
3.21,0.999958298705947,0.999892313277738,0.999921754674365,0.99981806361963
3.22,0.999959588484456,0.99989533504461,0.999924025922085,0.999822879752991
3.23,0.99996083837143,0.99989827201853,0.999926231241698,0.999827568395961
3.24,0.999962049600674,0.99990112657885,0.999928372546917,0.999832132923402
3.25,0.999963223367833,0.999903901038154,0.999930451695904,0.999836576620844
3.26,0.99996436083157,0.999906597644135,0.999932470492884,0.999840902686839
3.27,0.999965463114713,0.999909218581412,0.999934430689711,0.999845114235272
3.28,0.999966531305363,0.999911765973305,0.999936333987388,0.999849214297598
3.29,0.999967566457965,0.999914241883549,0.999938182037541,0.999853205825023
3.3,0.999968569594353,0.999916648317971,0.999939976443854,0.999857091690631
3.31,0.999969541704754,0.999918987226113,0.999941718763462,0.999860874691453
3.32,0.999970483748772,0.99992126050281,0.999943410508298,0.999864557550475
3.33,0.999971396656329,0.999923469989728,0.999945053146411,0.999868142918605
3.34,0.999972281328587,0.999925617476854,0.999946648103233,0.999871633376574
3.35,0.999973138638833,0.999927704703947,0.999948196762823,0.999875031436799
3.36,0.999973969433347,0.999929733361947,0.999949700469062,0.999878339545189
3.37,0.999974774532234,0.999931705094345,0.999951160526823,0.999881560082907
3.38,0.999975554730233,0.999933621498513,0.999952578203102,0.999884695368081
3.39,0.999976310797504,0.999935484127002,0.999953954728118,0.999887747657477
3.4,0.999977043480385,0.999937294488796,0.999955291296378,0.99989071914812
3.41,0.999977753502131,0.999939054050536,0.999956589067719,0.999893611978874
3.42,0.999978441563629,0.999940764237709,0.999957849168309,0.999896428231989
3.43,0.999979108344086,0.999942426435799,0.999959072691626,0.99989916993459
3.44,0.999979754501703,0.999944041991416,0.999960260699409,0.999901839060143
3.45,0.999980380674324,0.99994561221338,0.999961414222576,0.999904437529873
3.46,0.999980987480064,0.999947138373786,0.999962534262123,0.999906967214149
3.47,0.999981575517921,0.999948621709034,0.999963621789985,0.999909429933824
3.48,0.999982145368367,0.999950063420828,0.999964677749889,0.999911827461556
3.49,0.99998269759392,0.999951464677153,0.999965703058166,0.999914161523073
3.5,0.999983232739699,0.999952826613217,0.99996669860455,0.999916433798423
3.51,0.999983751333965,0.999954150332376,0.999967665252945,0.999918645923181
3.52,0.999984253888639,0.999955436907023,0.999968603842183,0.999920799489624
3.53,0.99998474089981,0.99995668737946,0.999969515186743,0.99992289604788
3.54,0.999985212848221,0.999957902762742,0.999970400077464,0.999924937107042
3.55,0.999985670199749,0.999959084041494,0.999971259282228,0.999926924136257
3.56,0.999986113405861,0.999960232172715,0.999972093546629,0.999928858565779
3.57,0.99998654290406,0.999961348086549,0.999972903594617,0.999930741788002
3.58,0.999986959118317,0.999962432687037,0.999973690129128,0.999932575158462
3.59,0.999987362459492,0.999963486852856,0.999974453832695,0.999934359996811
3.6,0.999987753325735,0.999964511438024,0.999975195368036,0.999936097587768
3.61,0.999988132102884,0.999965507272596,0.999975915378635,0.999937789182043
3.62,0.999988499164842,0.999966475163333,0.999976614489297,0.999939435997238
3.63,0.999988854873947,0.99996741589436,0.999977293306688,0.999941039218725
3.64,0.999989199581333,0.999968330227797,0.999977952419869,0.999942600000495
3.65,0.999989533627271,0.999969218904381,0.999978592400797,0.999944119465992
3.66,0.999989857341508,0.999970082644061,0.999979213804829,0.99994559870892
3.67,0.999990171043594,0.999970922146584,0.999979817171203,0.999947038794033
3.68,0.999990475043195,0.999971738092063,0.999980403023502,0.999948440757898
3.69,0.999990769640398,0.999972531141525,0.999980971870111,0.999949805609642
3.7,0.999991055126009,0.999973301937448,0.99998152420466,0.999951134331679
3.71,0.999991331781842,0.999974051104284,0.999982060506448,0.999952427880418
3.72,0.999991599880992,0.99997477924896,0.999982581240862,0.99995368718695
3.73,0.999991859688109,0.999975486961372,0.999983086859782,0.999954913157718
3.74,0.999992111459656,0.999976174814865,0.999983577801967,0.999956106675171
3.75,0.999992355444166,0.999976843366694,0.999984054493444,0.999957268598398
3.76,0.999992591882484,0.999977493158478,0.999984517347872,0.999958399763745
3.77,0.999992821008006,0.999978124716637,0.999984966766902,0.999959500985421
3.78,0.999993043046909,0.99997873855282,0.999985403140527,0.99996057305608
3.79,0.999993258218375,0.999979335164319,0.99998582684742,0.999961616747394
3.8,0.999993466734807,0.99997991503447,0.99998623825526,0.999962632810608
3.81,0.999993668802038,0.999980478633047,0.999986637721057,0.99996362197708
3.82,0.999993864619536,0.999981026416643,0.999987025591455,0.999964584958807
3.83,0.999994054380599,0.999981558829037,0.999987402203037,0.99996552244894
3.84,0.999994238272545,0.999982076301556,0.999987767882614,0.99996643512228
3.85,0.999994416476901,0.999982579253425,0.999988122947514,0.999967323635765
3.86,0.999994589169577,0.999983068092102,0.999988467705852,0.999968188628943
3.87,0.999994756521046,0.999983543213615,0.999988802456798,0.999969030724434
3.88,0.999994918696504,0.999984005002876,0.99998912749084,0.999969850528373
3.89,0.99999507585604,0.999984453833998,0.999989443090033,0.999970648630851
3.9,0.999995228154793,0.999984890070597,0.999989749528245,0.999971425606341
3.91,0.9999953757431,0.999985314066082,0.999990047071395,0.999972182014104
3.92,0.999995518766651,0.99998572616395,0.99999033597768,0.999972918398601
3.93,0.99999565736663,0.999986126698055,0.999990616497807,0.999973635289878
3.94,0.999995791679852,0.999986515992884,0.999990888875202,0.999974333203949
3.95,0.999995921838904,0.999986894363821,0.999991153346226,0.999975012643171
3.96,0.999996047972268,0.999987262117398,0.999991410140381,0.999975674096601
3.97,0.999996170204457,0.999987619551544,0.999991659480503,0.999976318040351
3.98,0.999996288656128,0.999987966955831,0.999991901582964,0.999976944937927
3.99,0.99999640344421,0.999988304611705,0.999992136657853,0.999977555240569
4,0.999996514682014,0.999988632792711,0.999992364909161,0.99997814938757
4.01,0.999996622479346,0.999988951764723,0.999992586534958,0.999978727806594
4.02,0.999996726942616,0.99998926178615,0.999992801727565,0.999979290913984
4.03,0.999996828174944,0.999989563108153,0.999993010673719,0.999979839115063
4.04,0.999996926276259,0.999989855974844,0.999993213554737,0.999980372804424
4.05,0.999997021343401,0.999990140623486,0.999993410546675,0.999980892366214
4.06,0.999997113470212,0.999990417284681,0.999993601820476,0.999981398174411
4.07,0.999997202747636,0.999990686182564,0.999993787542122,0.999981890593094
4.08,0.999997289263799,0.99999094753498,0.999993967872777,0.999982369976703
4.09,0.999997373104106,0.999991201553659,0.999994142968926,0.999982836670298
4.1,0.999997454351318,0.999991448444391,0.999994312982513,0.999983291009802
4.11,0.999997533085636,0.999991688407191,0.99999447806107,0.999983733322246
4.12,0.999997609384783,0.999991921636463,0.999994638347849,0.999984163926006
4.13,0.999997683324074,0.999992148321153,0.999994793981941,0.999984583131028
4.14,0.999997754976498,0.999992368644908,0.999994945098402,0.999984991239053
4.15,0.999997824412786,0.999992582786221,0.999995091828365,0.999985388543837
4.16,0.999997891701481,0.999992790918573,0.999995234299158,0.999985775331358
4.17,0.999997956909004,0.999992993210583,0.999995372634415,0.999986151880023
4.18,0.999998020099726,0.999993189826133,0.999995506954177,0.999986518460872
4.19,0.999998081336023,0.999993380924509,0.999995637375004,0.999986875337766
4.2,0.999998140678343,0.999993566660528,0.999995764010071,0.999987222767585
4.21,0.999998198185266,0.99999374718466,0.999995886969269,0.999987561000406
4.22,0.999998253913559,0.999993922643155,0.999996006359298,0.999987890279689
